Author,Text_Length,Path_Full_text,First_500,Second_500,Model,Path_generated_500,Generated_500,True_500,text_similarity_LLM,text_similarity_ORIGINAL,pos_similarity_LLM,pos_similarity_ORIGINAL,date,comments
A Project Of Ones Own,2480,data/PG_sample/processed/a_project_of_ones_own.txt,"June 2021A few days ago, on the way home from school, my nine year old son told me he couldn't wait ...","I had to choose between my kids getting good grades and working on ambitious projects of their own, ...",LLaMA,data/PG_sample/generated/a_project_of_ones_own_generated.txt,"...the trees that grew from the very same earth that nourished those pioneers. The notion that building treehouses is somehow less worthy of our attention than the scientific discoveries of Darwin and Newton is a curious one, and one that I find particularly disheartening. It's a notion that speaks to a deeper cultural bias, one that treats the work of children as somehow less valuable or less worthy than the work of adults.

But what if I told you that this bias is not unique to our society? Wh...","June 2021A few days ago, on the way home from school, my nine year old son told me he couldn't wait ...",0.1652,0.2622,0.9593,0.9808,2025-05-25,Comparison of a_project_of_ones_own
After Credentials,2334,data/PG_sample/processed/after_credentials.txt,December 2008A few months ago I read a New York Times article on South Korean cram schools that said...,which then makes them more successful. The problem comes when parents use direct methods: when they ...,LLaMA,data/PG_sample/generated/after_credentials_generated.txt,"But here's the thing: the Chinese system, the one that's been emulated by so many countries, including South Korea, is actually a relic of a bygone era. It's a system that's been in place for centuries, and yet it's still a far cry from the meritocratic, self-selecting system that we're trying to create here in the US. The Chinese system is a great example of how a society can be shaped by its own values and priorities, and how those values can be used to create a system that's designed to produ...",December 2008A few months ago I read a New York Times article on South Korean cram schools that said...,0.0814,0.2201,0.8592,0.9162,2025-05-25,Comparison of after_credentials
A Students Guide To Startups,6373,data/PG_sample/processed/a_students_guide_to_startups.txt,Want to start a startup? Get funded by Y Combinator. October 2006(This essay is derived from a talk ...,"the nominal goal of most startup founders, getting rich. [1] About a month into each funding cycle w...",LLaMA,data/PG_sample/generated/a_students_guide_to_startups_generated.txt,"...the opinion of one's parents, or even the opinion of one's own self. But what if that's not enough? What if the most powerful motivator is not the opinion of others, but the opinion of oneself? What if the most compelling reason to start a startup is not to impress others, but to impress oneself? The problem is that the path to self-improvement is not always linear, and the journey to self-discovery can be fraught with uncertainty. But what if that uncertainty is not a weakness, but a strengt...",Want to start a startup? Get funded by Y Combinator. October 2006(This essay is derived from a talk ...,0.1769,0.2345,0.9463,0.9761,2025-05-25,Comparison of a_students_guide_to_startups
Apples Mistake,2103,data/PG_sample/processed/apples_mistake.txt,Want to start a startup? Get funded by Y Combinator. November 2009I don't think Apple realizes how b...,an intermediary who sat on it for a month and then rejected it because it contained an icon they did...,LLaMA,data/PG_sample/generated/apples_mistake_generated.txt,"* * *The Apple bug is a classic example of the fundamental flaw in their approach to software development. If they had to submit their code to the App Store, it would be a monumental task, not just because of the sheer volume of updates they need to release, but also because of the sheer complexity of the codebase. The fact that they can't even be bothered to submit their code to the App Store is a testament to their arrogance.* * *But what's even more disturbing is that this is not just a matte...",Want to start a startup? Get funded by Y Combinator. November 2009I don't think Apple realizes how b...,0.4178,0.3756,0.962,0.9672,2025-05-25,Comparison of apples_mistake
A Unified Theory Of Vc Suckage,1445,data/PG_sample/processed/a_unified_theory_of_vc_suckage.txt,March 2005A couple months ago I got an email from a recruiter asking if I was interested in being a ...,"$x million because that's the amount you need, but because that's the amount the structure of their ...",LLaMA,data/PG_sample/generated/a_unified_theory_of_vc_suckage_generated.txt,"...in the company itself, but rather in the ""idea"" that the company is going to make. They're essentially betting on the idea, rather than the company. This is why VCs are so willing to take on huge risks, even if the company is still in its infancy. It's a classic case of ""I'll take a chance on a crazy idea because I'm a visionary, not because I have a clear understanding of the market."" This is why VCs are often willing to overlook fundamental flaws in a company's business plan, as long as the...",March 2005A couple months ago I got an email from a recruiter asking if I was interested in being a ...,0.1312,0.1614,0.9422,0.9536,2025-05-25,Comparison of a_unified_theory_of_vc_suckage
A New Venture Animal,1961,data/PG_sample/processed/a_new_venture_animal.txt,"March 2008, rev May 2013(This essay grew out of something I wrote for myself to figure out what we d...","been working on their software for a year or more, but others haven't decided what to work on, or ev...",LLaMA,data/PG_sample/generated/a_new_venture_animal_generated.txt,"The fundamental flaw in the description of Y Combinator as a seed funding program is that it's a misnomer. The fact that we're at least two steps before VC funding is a testament to the fact that we're not just a seed program, but a bridge between the early stages of entrepreneurship and the later stages of investment. It's a mistake to imply that we're just a seed program, when in fact we're a catalyst for the next stage of investment....","March 2008, rev May 2013(This essay grew out of something I wrote for myself to figure out what we d...",0.1235,0.144,0.943,0.9341,2025-05-25,Comparison of a_new_venture_animal
A Fundraising Survival Guide,4754,data/PG_sample/processed/a_fundraising_survival_guide.txt,Want to start a startup? Get funded by Y Combinator. August 2008Raising money is the second hardest ...,to increase the number of investors just as we're increasing the number of startups. We hope that as...,LLaMA,data/PG_sample/generated/a_fundraising_survival_guide_generated.txt,"...to create a more efficient market, one that rewards innovation and takes risks with fewer strings attached. But the problem is, we're not just talking about tweaking the rules of the game. We're talking about fundamentally changing the way people think about startups. We're talking about creating a system where the value of a startup is not just its potential for growth, but its ability to solve real problems for real people. It's a tall order, but we're willing to take the risk because we be...",Want to start a startup? Get funded by Y Combinator. August 2008Raising money is the second hardest ...,0.1755,0.231,0.97,0.9532,2025-05-25,Comparison of a_fundraising_survival_guide
A Plan For Spam,5237,data/PG_sample/processed/a_plan_for_spam.txt,Like to build things? Try Hacker News. August 2002(This article describes the spam-filtering techniq...,I were playing some kind of competitive game with the spammers. (Nonhackers don't often realize this...,LLaMA,data/PG_sample/generated/a_plan_for_spam_generated.txt,"...the solution to the problem was out there, waiting to be discovered. I had always been fascinated by the idea of creating software that could recognize and filter out spam, and I spent countless hours poring over lines of code, tweaking and testing different algorithms. But as I delved deeper into the world of spam filtering, I began to realize that the problem was not just about identifying individual spam features, but about understanding the underlying psychology of the spammers.

I starte...",Like to build things? Try Hacker News. August 2002(This article describes the spam-filtering techniq...,0.2342,0.2059,0.9291,0.9407,2025-05-25,Comparison of a_plan_for_spam
A Local Revolution,1318,data/PG_sample/processed/a_local_revolution.txt,April 2009Recently I realized I'd been holding two ideas in my head that would explode if combined.T...,"need could.How will this all play out? If I had to predict now, I'd say that startups will spread, b...",LLaMA,data/PG_sample/generated/a_local_revolution_generated.txt,"...revolutionary force can. The fact that governments can't create a Silicon Valley of their own, with a thriving ecosystem of startups and entrepreneurs, is a stark reminder that the seeds of innovation are not sown in the government's backyard, but rather in the minds of individuals and communities. The notion that startups are a type of business that flourishes in certain centers, like Silicon Valley or Los Angeles, is a fascinating one, and one that I'd like to explore further. What if I'm r...",April 2009Recently I realized I'd been holding two ideas in my head that would explode if combined.T...,0.267,0.1613,0.9528,0.9486,2025-05-25,Comparison of a_local_revolution
A Version 10,4222,data/PG_sample/processed/a_version_10.txt,"October 2004 As E. B. White said, ""good writing is rewriting."" I didn't realize this when I was in s...","writing has gotten mixed together with the study of literature. And so all over the country, student...",LLaMA,data/PG_sample/generated/a_version_10_generated.txt,"...the teaching of the ""art of essay writing"" seems to be a misguided endeavor. It's a peculiar notion that the key to writing a good essay lies in mastering the intricacies of literary theory and the nuances of rhetorical devices. But what's truly fascinating is how this fixation on the ""art of essay writing"" has led to a stifling of creativity and a stifling of the very essence of writing itself. As I've come to realize, the most compelling essays are those that are unapologetically raw, unbri...","October 2004 As E. B. White said, ""good writing is rewriting."" I didn't realize this when I was in s...",0.215,0.1578,0.9564,0.968,2025-05-25,Comparison of a_version_10
